Source,Target,weight,label
-4674365320703232734,-2406154927270380003,922,922
-4674365320703232734,2695305337569098618,863,863
-4666453782075787270,-2406154927270380003,2867,2867
-4666453782075787270,-2159857214311285554,1498,1498
-4666453782075787270,-273033171021384035,2156,2156
-4129215337742647371,2695305337569098618,755,755
-4060513158963513109,2589265509983531627,1256,1256
-4050477985649184306,-3268067683072787167,1692,1692
-4050477985649184306,-2406154927270380003,758,758
-4050477985649184306,-273033171021384035,1140,1140
-3869629224220610070,-2159857214311285554,542,542
-3869629224220610070,-273033171021384035,2197,2197
-3522223837183396362,-2406154927270380003,1171,1171
-3522223837183396362,-273033171021384035,841,841
-3522223837183396362,2695305337569098618,826,826
-3365402510077576223,2695305337569098618,570,570
-3304550021239131016,-2159857214311285554,1993,1993
-3268067683072787167,-2159857214311285554,1460,1460
-3268067683072787167,-2158435871750802565,1023,1023
-3268067683072787167,1108832248229541119,850,850
-3268067683072787167,2589265509983531627,1110,1110
-3268067683072787167,2811838510934669772,705,705
-3268067683072787167,5074974895441262076,962,962
-3268067683072787167,5269705119417905242,846,846
-3268067683072787167,8245816881551523383,984,984
-2406154927270380003,-2158435871750802565,728,728
-2406154927270380003,-1092374183810287215,1657,1657
-2406154927270380003,-1043076841826534975,1240,1240
-2406154927270380003,603774118492778883,1061,1061
-2406154927270380003,1108832248229541119,2791,2791
-2406154927270380003,2176853502720618633,751,751
-2406154927270380003,2695305337569098618,11203,11203
-2406154927270380003,2768059539183056150,4154,4154
-2406154927270380003,4462447588911890185,1790,1790
-2406154927270380003,4775248038139805003,2612,2612
-2406154927270380003,8584721346566371541,2400,2400
-2179786877876424548,2589265509983531627,2756,2756
-2179786877876424548,2695305337569098618,4238,4238
-2159857214311285554,-2158435871750802565,2498,2498
-2159857214311285554,457644081920749895,753,753
-2159857214311285554,603774118492778883,1040,1040
-2159857214311285554,1033778921950427255,1014,1014
-2159857214311285554,1960646417337105237,2070,2070
-2159857214311285554,2421156375800528076,589,589
-2159857214311285554,2435365756379674207,655,655
-2159857214311285554,7847537258258185880,825,825
-1423000256242238038,-273033171021384035,733,733
-1043076841826534975,-273033171021384035,816,816
-1043076841826534975,2695305337569098618,1019,1019
-273033171021384035,1108832248229541119,1983,1983
-273033171021384035,1960646417337105237,885,885
-273033171021384035,2087922859966410869,1348,1348
-273033171021384035,2707166451744194534,568,568
-273033171021384035,4462447588911890185,1237,1237
-273033171021384035,4775248038139805003,1787,1787
-273033171021384035,7341486337184709423,3712,3712
160009025870183982,2589265509983531627,2211,2211
1960646417337105237,2695305337569098618,1866,1866
2589265509983531627,2695305337569098618,3309,3309
2589265509983531627,7341486337184709423,623,623
2695305337569098618,2811838510934669772,4749,4749
2695305337569098618,3142100258669736279,558,558
2695305337569098618,3645692567939266464,6620,6620
2695305337569098618,7429265519267953816,603,603
2695305337569098618,8584721346566371541,2308,2308
-9189283624875180872,-9096232754884560930,2515,2515
-9189283624875180872,-6026813875032476846,1030,1030
-9189283624875180872,-5904698658142210447,571,571
-9189283624875180872,-4666453782075787270,731,731
-9189283624875180872,-2179786877876424548,1191,1191
-9189283624875180872,-1092374183810287215,587,587
-9189283624875180872,871557107850427658,513,513
-9189283624875180872,1108832248229541119,1277,1277
-9189283624875180872,2768059539183056150,931,931
-9189283624875180872,7057794358978688335,2134,2134
-9189283624875180872,7484248958687458596,798,798
-9096232754884560930,-9054730520840161619,2389,2389
-9096232754884560930,-8745505558082406655,9384,9384
-9096232754884560930,-8476437303145384835,1596,1596
-9096232754884560930,-8445470335412454848,955,955
-9096232754884560930,-7702246673281502833,762,762
-9096232754884560930,-6944071657116387530,907,907
-9096232754884560930,-6835537133953598467,795,795
-9096232754884560930,-5835361465413913482,1196,1196
-9096232754884560930,-4674365320703232734,643,643
-9096232754884560930,-3304550021239131016,4239,4239
-9096232754884560930,-2733769994685039948,508,508
-9096232754884560930,-2406154927270380003,5822,5822
-9096232754884560930,-2179786877876424548,6186,6186
-9096232754884560930,-2159857214311285554,10703,10703
-9096232754884560930,-1092374183810287215,4607,4607
-9096232754884560930,-464204487869910793,1040,1040
-9096232754884560930,-273033171021384035,4648,4648
-9096232754884560930,411522172308304650,1247,1247
-9096232754884560930,457644081920749895,1036,1036
-9096232754884560930,865030606091400331,1168,1168
-9096232754884560930,1695560610886202841,529,529
-9096232754884560930,1768082660194401914,773,773
-9096232754884560930,2435365756379674207,665,665
-9096232754884560930,2695305337569098618,7179,7179
-9096232754884560930,5074974895441262076,1175,1175
-9096232754884560930,6059137422770648348,1168,1168
-9096232754884560930,7057794358978688335,1027,1027
-9096232754884560930,7484248958687458596,624,624
-9054730520840161619,-7784712059813151204,3337,3337
-9054730520840161619,-6026813875032476846,1607,1607
-8745505558082406655,-3268067683072787167,827,827
-8745505558082406655,-2406154927270380003,2362,2362
-8745505558082406655,-2159857214311285554,5411,5411
-8641629872156953748,2695305337569098618,638,638
-8481753544240448093,-7784712059813151204,676,676
-8476437303145384835,-3268067683072787167,767,767
-8476437303145384835,-273033171021384035,740,740
-8445470335412454848,-6026813875032476846,603,603
-8297720995641411256,-3268067683072787167,700,700
-7784712059813151204,-6944071657116387530,840,840
-7784712059813151204,-5904698658142210447,1572,1572
-7784712059813151204,-4387858203142964056,2130,2130
-7784712059813151204,-3869629224220610070,1232,1232
-7784712059813151204,-3522223837183396362,1345,1345
-7784712059813151204,-3473508732087881092,555,555
