id,label,name,degree
-3268067683072787167,app,app,9
-9096232754884560930,mysql,mysql,52
-6174967750217613587,dubbo,dubbo,3
2811838510934669772,ajax,ajax,10
-4060513158963513109,css,css,39
-6026813875032476846,sql,sql,10
-4050477985649184306,photoshop,photoshop,3
-9189283624875180872,http,http,10
-2479076574622892161,dom,dom,4
1960646417337105237,tomcat,tomcat,8
7519427517373691798,mongodb,mongodb,6
-2158435871750802565,tcp,tcp,5
6059137422770648348,kafka,kafka,3
-464204487869910793,io,io,2
-3304550021239131016,jquery,jquery,37
-8745505558082406655,redis,redis,33
865030606091400331,sqlserver,sqlserver,1
-1043076841826534975,xhtml,xhtml,3
-4387858203142964056,android,android,1
-273033171021384035,html,html,36
-3810326145888079572,hibernate,hibernate,6
-9054730520840161619,j2ee,j2ee,7
-7784712059813151204,java,java,56
-4666453782075787270,mvc,mvc,10
-4876003296321717233,pc,pc,6
2707166451744194534,shell,shell,5
-2179786877876424548,php,php,10
-4999257352771650151,git,git,10
-6835537133953598467,cloud,cloud,1
7341486337184709423,html5,html5,8
-5264754114606649098,apache,apache,2
-8445470335412454848,ibatis,ibatis,1
5074974895441262076,json,json,8
-5414993972319602247,w3c,w3c,6
-6806691435797463535,oracle,oracle,9
3645692567939266464,js,js,34
-8476437303145384835,api,api,6
457644081920749895,laravel,laravel,1
603774118492778883,springmvc,springmvc,7
-3522223837183396362,server,server,3
2695305337569098618,web,web,47
-5904698658142210447,bug,bug,4
7847537258258185880,jvm,jvm,2
-6861850936062169047,servlet,servlet,1
-5846950087260686514,rabbitmq,rabbitmq,1
4775248038139805003,webpack,webpack,6
-8638814388602130013,boot,boot,2
-7675450448203336984,ip,ip,3
4064891571011074380,div,div,6
411522172308304650,docker,docker,3
2768059539183056150,react,react,7
8584721346566371541,h5,h5,6
-7702246673281502833,vue,vue,7
-1521781524640025379,sdk,sdk,1
-4129215337742647371,memcache,memcache,2
3039183585666478258,spring,spring,10
7484248958687458596,css3,css3,7
-3869629224220610070,bootstrap,bootstrap,8
871557107850427658,es6,es6,5
3946370886449903125,node,node,2
2589265509983531627,python,python,9
1033778921950427255,hbase,hbase,3
4462447588911890185,gulp,gulp,5
-7426124097735608676,spark,spark,3
7744895437826374207,eclipse,eclipse,1
1108832248229541119,xml,xml,8
2087922859966410869,angularjs,angularjs,6
7057794358978688335,socket,socket,2
-3358320156885107738,springboot,springboot,1
-5835361465413913482,svn,svn,2
-2159857214311285554,linux,linux,34
160009025870183982,hadoop,hadoop,4
-1092374183810287215,mybatis,mybatis,9
5647053732965528546,thinkphp,thinkphp,1
-1423000256242238038,jsp,jsp,3
-2406154927270380003,javascript,javascript,46
