id,label,name,degree
1960646417337105237,tomcat,tomcat,5
-7784712059813151204,java,java,30
2811838510934669772,ajax,ajax,9
-3304550021239131016,jquery,jquery,19
-9096232754884560930,mysql,mysql,25
-4060513158963513109,css,css,19
-9189283624875180872,http,http,8
7519427517373691798,mongodb,mongodb,4
-8745505558082406655,redis,redis,13
-4387858203142964056,android,android,1
-2158435871750802565,tcp,tcp,5
-3268067683072787167,app,app,3
-6026813875032476846,sql,sql,15
5669528293118392224,www,www,1
-273033171021384035,html,html,17
-3810326145888079572,hibernate,hibernate,3
-4050477985649184306,photoshop,photoshop,3
-9054730520840161619,j2ee,j2ee,3
-4666453782075787270,mvc,mvc,9
-6659696680396705782,flash,flash,1
603774118492778883,springmvc,springmvc,4
-4659034257681990730,excel,excel,2
-3522223837183396362,server,server,1
4064891571011074380,div,div,1
2707166451744194534,shell,shell,5
8584721346566371541,h5,h5,2
-6806691435797463535,oracle,oracle,11
5269705119417905242,ai,ai,2
-4876003296321717233,pc,pc,1
4775248038139805003,webpack,webpack,5
3645692567939266464,js,js,14
2768059539183056150,react,react,10
2695305337569098618,web,web,29
5074974895441262076,json,json,4
-7675450448203336984,ip,ip,2
-2179786877876424548,php,php,11
7341486337184709423,html5,html5,12
-5414993972319602247,w3c,w3c,1
-3869629224220610070,bootstrap,bootstrap,7
3039183585666478258,spring,spring,15
-8491974549885993122,ppt,ppt,2
-1092374183810287215,mybatis,mybatis,8
1108832248229541119,xml,xml,4
-4288244399130394731,word,word,2
-7702246673281502833,vue,vue,10
-2159857214311285554,linux,linux,17
2589265509983531627,python,python,9
-7426124097735608676,spark,spark,2
-8641629872156953748,ps,ps,1
5558406874053753951,com,com,1
7484248958687458596,css3,css3,9
7057794358978688335,socket,socket,1
-2406154927270380003,javascript,javascript,27
160009025870183982,hadoop,hadoop,3
8245816881551523383,illustrator,illustrator,1
4462447588911890185,gulp,gulp,1
