id,label,name,degree
-3473508732087881092,jmeter,jmeter,1
-3268067683072787167,app,app,1
-9096232754884560930,mysql,mysql,1
2811838510934669772,ajax,ajax,1
-4060513158963513109,css,css,1
-6026813875032476846,sql,sql,1
-9189283624875180872,http,http,1
-2158435871750802565,tcp,tcp,1
-3304550021239131016,jquery,jquery,1
-8745505558082406655,redis,redis,1
-4387858203142964056,android,android,1
-273033171021384035,html,html,1
-7784712059813151204,java,java,1
5459520483848108657,loadrunner,loadrunner,1
2707166451744194534,shell,shell,1
-2179786877876424548,php,php,1
7341486337184709423,html5,html5,1
-6806691435797463535,oracle,oracle,1
3645692567939266464,js,js,1
2695305337569098618,web,web,1
-5904698658142210447,bug,bug,26
3039183585666478258,spring,spring,1
-8214467404883938797,selenium,selenium,1
2589265509983531627,python,python,1
-2159857214311285554,linux,linux,1
-1092374183810287215,mybatis,mybatis,1
-2406154927270380003,javascript,javascript,1
