Source,Target,weight,label
-6026813875032476846,2589265509983531627,3109,3109
-6026813875032476846,2695305337569098618,3509,3509
-6026813875032476846,3039183585666478258,3858,3858
-5414993972319602247,-2406154927270380003,2193,2193
-4666453782075787270,-4060513158963513109,2393,2393
-4666453782075787270,3039183585666478258,2513,2513
-4060513158963513109,-2406154927270380003,11909,11909
-4060513158963513109,-2179786877876424548,3870,3870
-4060513158963513109,-2159857214311285554,2648,2648
-4060513158963513109,2695305337569098618,8959,8959
-4060513158963513109,2811838510934669772,5098,5098
-3304550021239131016,-2406154927270380003,9164,9164
-3304550021239131016,-273033171021384035,6497,6497
-3304550021239131016,2695305337569098618,7253,7253
-3304550021239131016,2768059539183056150,2169,2169
-3304550021239131016,3039183585666478258,2610,2610
-3304550021239131016,3645692567939266464,4966,4966
-3268067683072787167,-2406154927270380003,2141,2141
-2406154927270380003,-273033171021384035,11040,11040
-2406154927270380003,2811838510934669772,6278,6278
-2406154927270380003,3645692567939266464,6229,6229
-2406154927270380003,7484248958687458596,5811,5811
-2179786877876424548,-2159857214311285554,4111,4111
-2179786877876424548,-273033171021384035,3576,3576
-2159857214311285554,-273033171021384035,2621,2621
-2159857214311285554,2707166451744194534,4862,4862
-1092374183810287215,2695305337569098618,2132,2132
-273033171021384035,3645692567939266464,5600,5600
-273033171021384035,7484248958687458596,2885,2885
603774118492778883,3039183585666478258,2569,2569
1960646417337105237,3039183585666478258,2876,2876
2695305337569098618,4775248038139805003,2394,2394
2695305337569098618,5074974895441262076,2361,2361
2695305337569098618,7341486337184709423,6550,6550
2695305337569098618,7484248958687458596,5019,5019
