id,label,name,degree
-3268067683072787167,app,app,3
-9096232754884560930,mysql,mysql,25
2811838510934669772,ajax,ajax,7
-4060513158963513109,css,css,19
-6026813875032476846,sql,sql,15
-9189283624875180872,http,http,5
1960646417337105237,tomcat,tomcat,4
7519427517373691798,mongodb,mongodb,3
-2158435871750802565,tcp,tcp,3
-3304550021239131016,jquery,jquery,19
-8745505558082406655,redis,redis,7
-4387858203142964056,android,android,1
-273033171021384035,html,html,17
-3810326145888079572,hibernate,hibernate,3
-9054730520840161619,j2ee,j2ee,3
-7784712059813151204,java,java,30
-4666453782075787270,mvc,mvc,9
-4876003296321717233,pc,pc,1
2707166451744194534,shell,shell,3
-2179786877876424548,php,php,8
7341486337184709423,html5,html5,6
5074974895441262076,json,json,3
-5414993972319602247,w3c,w3c,1
-6806691435797463535,oracle,oracle,8
3645692567939266464,js,js,7
603774118492778883,springmvc,springmvc,3
-3522223837183396362,server,server,1
2695305337569098618,web,web,29
4775248038139805003,webpack,webpack,2
4064891571011074380,div,div,1
2768059539183056150,react,react,5
8584721346566371541,h5,h5,2
-7702246673281502833,vue,vue,5
3039183585666478258,spring,spring,15
7484248958687458596,css3,css3,5
-3869629224220610070,bootstrap,bootstrap,5
2589265509983531627,python,python,5
-7426124097735608676,spark,spark,1
1108832248229541119,xml,xml,3
-2159857214311285554,linux,linux,17
160009025870183982,hadoop,hadoop,1
-1092374183810287215,mybatis,mybatis,5
-2406154927270380003,javascript,javascript,27
