Source,Target,weight,label
-3304550021239131016,1960646417337105237,1343,1343
-3304550021239131016,2087922859966410869,1543,1543
-3304550021239131016,4775248038139805003,1342,1342
-3304550021239131016,5074974895441262076,2218,2218
-3304550021239131016,7484248958687458596,4006,4006
-3268067683072787167,-2159857214311285554,1460,1460
-3268067683072787167,-2158435871750802565,1023,1023
-3268067683072787167,2589265509983531627,1110,1110
-2406154927270380003,-1092374183810287215,1657,1657
-2406154927270380003,-1043076841826534975,1240,1240
-2406154927270380003,603774118492778883,1061,1061
-2406154927270380003,1108832248229541119,2791,2791
-2406154927270380003,2695305337569098618,11203,11203
-2406154927270380003,2768059539183056150,4154,4154
-2406154927270380003,4462447588911890185,1790,1790
-2406154927270380003,4775248038139805003,2612,2612
-2406154927270380003,8584721346566371541,2400,2400
-2179786877876424548,457644081920749895,1213,1213
-2179786877876424548,2589265509983531627,2756,2756
-2179786877876424548,2695305337569098618,4238,4238
-2179786877876424548,3645692567939266464,2152,2152
-2179786877876424548,5647053732965528546,1704,1704
-2179786877876424548,7484248958687458596,1082,1082
-2159857214311285554,-2158435871750802565,2498,2498
-2159857214311285554,603774118492778883,1040,1040
-2159857214311285554,1033778921950427255,1014,1014
-2159857214311285554,1960646417337105237,2070,2070
-1043076841826534975,2695305337569098618,1019,1019
-273033171021384035,1108832248229541119,1983,1983
-273033171021384035,2087922859966410869,1348,1348
-273033171021384035,4462447588911890185,1237,1237
-273033171021384035,4775248038139805003,1787,1787
-273033171021384035,7341486337184709423,3712,3712
160009025870183982,2589265509983531627,2211,2211
871557107850427658,2768059539183056150,1449,1449
871557107850427658,3645692567939266464,1383,1383
871557107850427658,4775248038139805003,1387,1387
1960646417337105237,2695305337569098618,1866,1866
2087922859966410869,3645692567939266464,1324,1324
2589265509983531627,2695305337569098618,3309,3309
2695305337569098618,2811838510934669772,4749,4749
2695305337569098618,3645692567939266464,6620,6620
2695305337569098618,8584721346566371541,2308,2308
2768059539183056150,4462447588911890185,1401,1401
2768059539183056150,7341486337184709423,3003,3003
2768059539183056150,7484248958687458596,2543,2543
2811838510934669772,3039183585666478258,1604,1604
3645692567939266464,4064891571011074380,1094,1094
3645692567939266464,5074974895441262076,1422,1422
4462447588911890185,4775248038139805003,2212,2212
4775248038139805003,7484248958687458596,1762,1762
5074974895441262076,7341486337184709423,1758,1758
5558406874053753951,5669528293118392224,2292,2292
7484248958687458596,8584721346566371541,1448,1448
-9189283624875180872,-9096232754884560930,2515,2515
-9189283624875180872,-6026813875032476846,1030,1030
-9189283624875180872,-2179786877876424548,1191,1191
-9189283624875180872,1108832248229541119,1277,1277
-9189283624875180872,7057794358978688335,2134,2134
-9096232754884560930,-9054730520840161619,2389,2389
-9096232754884560930,-8745505558082406655,9384,9384
-9096232754884560930,-8476437303145384835,1596,1596
-9096232754884560930,-5835361465413913482,1196,1196
-9096232754884560930,-3304550021239131016,4239,4239
-9096232754884560930,-2406154927270380003,5822,5822
-9096232754884560930,-2179786877876424548,6186,6186
-9096232754884560930,-2159857214311285554,10703,10703
-9096232754884560930,-1092374183810287215,4607,4607
-9096232754884560930,-464204487869910793,1040,1040
-9096232754884560930,-273033171021384035,4648,4648
-9096232754884560930,411522172308304650,1247,1247
-9096232754884560930,457644081920749895,1036,1036
-9096232754884560930,865030606091400331,1168,1168
-9096232754884560930,2695305337569098618,7179,7179
-9096232754884560930,5074974895441262076,1175,1175
-9096232754884560930,6059137422770648348,1168,1168
-9096232754884560930,7057794358978688335,1027,1027
-9054730520840161619,-8745505558082406655,1038,1038
-9054730520840161619,-7784712059813151204,3337,3337
-9054730520840161619,-6026813875032476846,1607,1607
-9054730520840161619,1960646417337105237,1357,1357
-8891087951811101969,-7426124097735608676,1091,1091
-8745505558082406655,-6806691435797463535,2009,2009
-8745505558082406655,-5846950087260686514,1062,1062
-8745505558082406655,-4666453782075787270,1791,1791
-8745505558082406655,-2406154927270380003,2362,2362
-8745505558082406655,-2159857214311285554,5411,5411
-8745505558082406655,-1092374183810287215,3103,3103
-8745505558082406655,411522172308304650,1210,1210
-8745505558082406655,2707166451744194534,2235,2235
-8641629872156953748,-5279551511944939224,1359,1359
-8641629872156953748,5269705119417905242,3821,3821
-8491974549885993122,-4659034257681990730,3435,3435
-7784712059813151204,-5904698658142210447,1572,1572
-7784712059813151204,-4387858203142964056,2130,2130
-7784712059813151204,-3869629224220610070,1232,1232
-7784712059813151204,-3522223837183396362,1345,1345
