java开发工程,778,114,969,130,1168,10,726,185,18,37,149,653,5,2,8,15,2612,1,0,0,443,0,66,6,3,29,1,1,21,53,0,0,160,0,46,5,263,0,8,321,18,0,3,2611,1,120,2,3,10,14,0,9,11,4,3,4,7,1154,8,0,0,2,145,21,543,0,31,1,0,0,4,6,17,417,1087,9,1,0,0,4,0,6,0,3,13,875,0,0,4,1874,10,7,84,0,1,294,19,0,0,0,243,0,15,954,106,30,52,7,5,0,2,0,0,1,1,12,0,6,1,1,6,9,0,0,1,10,106,150,1,315,2,1,1,1,0,0,18,0,1,6,0,0,2,0,1,8,8,0,6,26,1,0,204,36,207,0,4,107,45,0,5,10,1,0,53,0,5,5,0,2,6,6,5,8,2,265,2329,5,2,30,0,2003,31,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2,182,6,0,237,8,0,0,1,756,3,0,3,1,0,338,1,49,55,2,0,8,7,4,12,0,70,125,10,16,5,7,116,6,157,153,0,88,182,41,105,3,2,1,0,2,0,2,117,5,1,0,5,17,1,0,5,25,0,2,4,95,142,132,22,0,2,32,0,46,8,12,1,0,0,2,0,0,0,81,10,0,0,4,2,25,0,4,48,4,3,5,4,2,0,94,56,0,0,18,77,0,100,61,2,0,1,0,12,25,8,4,1,6,24,0,7,2,0,0,2,16,0,0,0,4,0,0,0,0,1,0,1,0,0,3,0,4,1,3,1,1,0,0,2,0,0,9,11,0,139,0,0,51,0,0,0,14,3,0,21,0,12,40,0,16,0,0,3,0,0,0,0,5,2,3,0,0,0,0,0,750,207,47,0,72,35,62,18,80,51,27,16,0,62,0,4,6,18,19,0,0,0,0,0,1,0,0,2,0,0,2,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,11,0,0,0,0,1,0,0,0,0,0,0,9,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
web前端开发工程,3084,1237,1736,279,3078,264,1208,608,428,255,381,2582,47,62,476,61,375,64,1,63,690,195,1035,610,415,520,22,83,33,272,194,11,16,30,385,35,247,30,113,297,166,77,7,311,34,140,7,62,48,157,9,10,3,13,36,23,45,10,60,31,1,2,76,194,165,14,31,63,7,28,11,74,3,17,13,8,2,0,0,0,2,144,0,24,0,74,15,20,12,44,21,17,22,36,17,2,19,37,0,35,51,46,2,22,101,20,12,13,4,31,47,0,0,3,0,10,5,13,10,16,8,4,0,0,0,1,13,30,0,10,0,0,0,0,30,12,0,0,1,6,0,0,0,0,2,0,0,2,0,6,0,0,0,1,0,4,11,3,0,0,5,0,1,0,26,0,0,1,0,1,2,0,0,3,0,9,62,0,0,0,2,8,0,1,1,0,0,0,0,3,0,0,1,0,8,0,4,0,0,3,1,0,0,0,4,1,0,6,7,14,5,0,0,1,0,0,0,14,0,0,0,0,0,0,0,4,0,0,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,6,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,4,0,1,0,1,5,0,1,0,0,1,1,0,0,1,2,1,2,0,0,0,2,1,0,4,2,0,0,1,1,0,0,7,1,2,0,0,30,1,0,0,1,0,0,0,0,0,3,19,16,0,6,0,0,0,0,0,0,0,11,1,5,5,0,0,9,13,0,0,1,6,0,1,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,3,8,65,1,0,1,0,0,1,0,1,0,0,7,0,9,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,34,31,2,22,2,1,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
前端开发工程,2842,1251,1429,317,2859,228,983,453,358,200,259,2321,31,54,384,38,371,78,4,66,484,165,966,595,408,520,9,95,55,262,160,9,5,16,393,34,154,22,109,364,128,52,6,293,17,154,21,81,39,132,14,11,2,19,29,18,22,12,88,15,0,1,61,217,154,19,30,74,3,13,20,65,5,15,19,4,5,0,0,0,3,169,2,8,4,65,8,31,3,35,7,34,32,31,11,5,25,14,5,39,77,35,8,14,76,22,10,4,5,20,30,3,0,4,1,8,4,22,19,14,5,2,0,0,0,7,10,39,2,1,0,3,2,0,22,8,0,2,2,3,0,0,0,0,0,2,4,5,0,5,1,0,0,0,3,7,5,4,1,0,4,0,0,0,24,4,0,5,0,2,0,0,3,5,0,5,22,0,2,6,0,18,2,3,0,0,0,1,0,0,0,0,2,0,20,4,0,0,0,2,0,0,0,0,4,0,0,2,3,4,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,2,1,0,0,8,0,0,1,0,0,3,1,3,2,0,2,1,0,0,1,0,0,0,0,0,5,0,0,0,3,12,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,4,0,1,7,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,7,0,4,3,0,0,0,0,0,0,1,1,0,0,0,22,4,0,1,2,0,0,0,0,0,12,8,10,0,2,0,1,0,0,0,2,0,13,0,0,5,0,0,15,4,0,0,0,8,0,11,0,0,0,0,3,0,3,25,0,0,0,1,0,0,0,0,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0,1,5,0,2,0,0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,33,13,3,9,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php开发工程,1037,88,767,227,1161,17,566,117,27,201,185,978,0,2,32,22,98,5,0,0,529,0,39,3,1,11,0,3,8,1852,0,0,217,0,26,4,270,1,9,270,117,1,14,93,0,139,0,0,7,10,2,14,1,0,2,9,2,52,1,0,0,0,102,14,443,0,5,5,0,0,4,0,30,241,405,7,0,0,0,0,1,0,1,6,15,902,1,0,6,1573,25,2,84,0,0,1,19,5,23,0,99,1,11,710,263,25,43,46,0,0,0,403,31,38,14,47,3,17,1,0,0,2,0,0,0,0,30,102,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,15,0,0,0,19,16,0,0,1,0,0,0,2,0,0,180,0,1,4,0,0,0,0,1,0,0,8,9,4,2,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,7,1,0,0,0,0,2,1,238,5,0,0,1,0,0,0,1,0,0,0,0,0,3,0,8,1,0,283,14,0,0,2,187,31,6,0,0,0,0,0,0,13,2,0,2,0,0,24,219,12,0,0,0,0,0,7,2,0,0,3,0,0,6,1,5,0,4,0,24,3,285,0,2,1,19,0,31,15,0,0,0,0,0,0,0,0,40,1,0,0,3,0,6,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,1,7,0,0,2,0,0,5,2,0,5,6,0,0,14,2,0,0,0,9,0,0,0,10,2,0,0,1,0,0,0,0,0,1,0,1,0,1,7,2,0,0,0,0,1,4,1,0,9,0,0,11,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,6,1,0,0,0,6,1,4,0,0,3,0,0,3,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,58,0,648,39,0,414,0,0,0,0,0,0,0,47,0,0,50,49,22,26,42,0,0,0,0
ui设计,916,2,997,1410,261,9,65,18,720,180,12,518,0,0,14,0,7,3,0,0,48,0,7,6,5,1,0,6,241,3,0,2,0,0,10,3,17,0,5,0,31,0,0,4,320,0,0,0,0,2577,413,32,0,0,0,30,574,0,0,5,66,0,3,0,0,5,0,3,0,0,4,4,3,0,0,4,917,0,0,194,0,0,0,8,0,0,0,0,3,0,22,21,4,4,0,0,65,1,12,1,0,0,2,0,1,20,3,0,0,0,0,0,0,0,4,0,3,1,0,1,0,0,0,0,0,0,0,1,7,0,0,1,8,1,0,0,0,0,10,0,0,0,0,0,1,0,2,0,0,5,0,0,0,0,0,7,448,6,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,777,0,7,1,0,0,0,1,0,0,3,0,232,17,243,2,400,12,52,17,14,34,188,95,0,60,13,12,5,0,5,7,58,6,12,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,10,40,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,38,0,11,0,12,0,0,9,0,0,0,1,41,6,41,9,6,13,7,13,3,11,13,10,3,3,1,1,7,1,3,3,1,3,2,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高级java开发工程,216,13,259,33,275,1,205,58,9,4,51,149,0,0,3,0,854,0,0,0,89,0,10,0,0,5,2,0,4,10,0,0,63,0,12,1,79,0,2,105,2,0,1,854,0,44,0,0,6,8,0,4,8,0,0,0,1,296,1,0,0,0,21,2,171,0,7,0,0,0,3,0,6,124,321,0,0,0,0,1,0,1,0,1,6,292,0,0,0,628,5,3,28,0,0,66,28,0,0,0,51,0,3,413,49,24,11,2,0,0,0,0,0,4,0,5,2,2,0,0,1,9,0,0,2,0,28,33,0,66,2,2,0,2,0,0,3,0,0,0,0,0,0,0,0,1,9,0,0,9,1,0,152,4,32,0,0,38,9,0,1,4,0,0,11,0,1,6,0,2,0,0,11,5,0,108,735,5,3,4,0,694,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,76,0,1,0,2,231,0,0,0,0,0,192,1,23,31,4,0,0,2,2,5,0,40,53,1,6,12,5,80,3,79,48,0,28,52,7,79,3,1,0,0,1,0,2,46,0,1,0,11,10,0,3,0,0,0,3,1,55,32,55,30,0,0,9,0,24,1,6,0,1,0,3,0,0,0,73,3,0,0,0,0,19,0,0,6,1,0,1,0,0,0,14,29,1,0,11,17,0,89,44,0,0,1,0,1,5,2,0,0,3,15,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5,0,0,1,8,0,67,0,0,22,0,0,0,11,0,0,6,0,7,16,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,230,112,7,0,15,10,15,12,29,16,11,6,0,14,0,3,4,13,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java工程,253,24,320,40,369,6,231,66,5,17,53,208,0,0,0,1,859,0,0,1,146,0,24,2,0,3,0,0,8,10,0,0,63,0,11,1,97,1,3,110,7,0,4,859,5,53,0,0,1,5,0,5,1,0,0,9,5,331,0,0,0,0,28,1,193,0,15,0,0,0,0,0,6,136,316,4,0,0,0,1,0,0,0,2,0,271,0,0,0,614,3,0,43,0,0,97,3,0,0,0,59,0,2,284,22,32,20,1,4,0,0,0,0,6,0,4,0,10,0,0,0,1,0,0,0,2,38,55,0,87,0,0,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,97,5,42,0,0,23,5,0,4,0,0,0,17,0,2,3,0,2,0,0,3,1,0,74,805,5,0,4,0,693,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,2,0,80,1,0,0,2,249,0,0,0,0,0,117,0,19,21,2,0,4,0,0,3,1,23,37,4,13,1,9,56,3,48,46,0,34,61,18,37,1,0,0,0,4,0,0,42,3,0,0,3,5,5,0,0,2,0,0,1,35,51,44,13,0,0,7,0,23,3,0,0,0,0,0,0,0,0,14,2,0,0,0,0,18,0,0,6,10,0,0,1,0,1,26,14,0,0,9,37,0,43,30,2,0,0,0,1,3,1,0,3,1,17,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,7,0,0,41,0,0,13,0,0,0,9,0,0,4,0,2,7,0,10,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,239,72,8,0,12,25,8,14,41,19,7,5,0,18,1,6,6,7,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
测试工程,127,1,627,608,139,2,2,0,108,6,6,27,0,0,0,1,618,0,0,0,1,0,2,0,0,0,0,0,98,137,0,0,280,0,1,0,14,0,2,68,6,0,0,618,0,619,0,0,89,3,5,7,129,0,0,14,0,288,0,0,0,0,964,3,6,0,0,0,0,0,0,0,9,17,488,2,0,0,0,0,0,0,4,0,2,668,1,0,2,464,29,7,50,0,0,0,36,0,2,1,61,0,13,29,39,11,31,19,0,0,0,0,0,4,0,0,5,12,0,0,1,24,0,0,0,0,6,66,11,4,0,0,3,0,0,0,1,0,3,0,0,4,0,3,2,0,1,0,1,8,0,0,5,5,32,0,0,0,0,0,0,4,0,0,0,0,1,10,24,6,5,0,8,7,0,6,16,9,0,8,0,8,0,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,0,9,0,0,0,0,0,3,7,11,1,0,0,0,0,0,4,36,1,0,1,5,0,5,0,1,0,1,2,57,0,2,0,4,27,0,0,1,0,2,1,39,2,7,6,3,5,0,0,3,2,0,0,0,1,2,5,24,1,25,3,1,0,8,0,0,0,7,0,1,0,1,1,1,10,8,2,8,1,1,1,1,1,3,9,0,1,8,0,5,5,0,0,0,0,0,1,0,1,1,9,0,0,2,0,0,0,5,13,0,0,0,51,23,4,2,1,7,2,0,8,6,0,1,0,1,0,3,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,1,0,0,3,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,271,8,0,0,0,385,138,305,122,41,89,65,46,51,89,33,4,1,4,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web前端工程,1201,535,631,122,1221,117,502,231,208,118,141,1023,9,34,198,24,132,21,0,29,285,71,381,246,175,177,8,17,12,118,77,3,3,7,116,21,84,24,40,171,62,25,7,111,14,67,10,17,13,53,10,11,2,2,15,5,13,5,36,2,0,3,34,89,60,3,15,21,0,8,11,12,0,9,12,0,2,0,0,0,0,51,0,6,0,42,12,6,0,21,2,13,9,9,4,5,10,5,0,13,24,20,2,6,29,3,0,5,3,17,13,1,0,3,3,5,1,8,1,7,0,2,0,0,0,1,6,21,6,1,0,0,1,0,16,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,3,4,0,0,2,2,0,0,11,0,0,2,0,1,1,0,0,1,0,1,17,0,0,3,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,1,12,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,0,1,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,4,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,2,0,0,0,2,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,12,5,0,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android开发工程,208,6,62,762,114,0,10,1,0,0,268,50,0,0,1,15,1333,5,0,0,3,0,60,0,0,15,0,0,847,3,0,0,0,0,4,0,273,0,3,222,0,1,0,1328,0,26,0,2,0,5,49,5,0,1,0,3,0,10,0,0,0,0,74,2,52,0,0,5,0,0,0,0,1,1,38,0,0,0,0,26,6,37,5,32,1,74,41,0,0,24,88,6,364,0,0,0,4,0,0,0,95,0,0,0,208,0,3,185,0,0,0,0,0,0,0,1,226,544,13,3,2,1,72,53,148,2,383,462,34,82,7,44,0,0,10,7,20,22,3,3,70,9,10,2,18,76,39,0,3,0,3,18,4,0,11,1,0,0,1,27,6,0,1,2,19,1,1,1,13,1,5,5,2,13,0,22,18,4,8,9,0,7,7,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,5,5,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,8,0,0,13,1,6,7,2,2,0,0,10,10,0,0,0,0,0,3,0,1,5,1,5,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
